Location,Longitude,Latitude
"Blue Origin Launch Site, West Texas, Texas, USA", -104.8233, 31.7936
"Brigitte, Hammaguir, Algeria, France", 3.0604, 30.8786
"Cosmic Girl, Mojave Air and Space Port, California, USA", -118.1504, 35.059
"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA", -119.117, 34.1207
"ELA-1, Guiana Space Centre, French Guiana, France", -52.7864, 5.236
"ELA-2, Guiana Space Centre, French Guiana, France", -52.7925, 5.2362
"ELA-3, Guiana Space Centre, French Guiana, France", -52.7924, 5.2416
"ELD, Guiana Space Centre, French Guiana, France", -52.7869, 5.2338
"ELS, Guiana Space Centre, French Guiana, France", -52.7824, 5.2334
"ELV-1 (SLV), Guiana Space Centre, French Guiana, France", -52.7922, 5.2394
"First Launch Pad, Satish Dhawan Space Centre, India", 80.2342, 13.7337
"Imam Khomeini Spaceport, Semnan Space Center, Iran", 53.4064, 35.2869
"Jiuquan Satellite Launch Center, China", 100.299, 40.9601
"K-407 Submarine, Barents Sea Launch Area, Barents Sea", 39.4956, 69.2803
"K-496 Submarine, Barents Sea Launch Area, Barents Sea", 39.4956, 69.2803
"K-84 Submarine, Barents Sea Launch Area, Barents Sea", 39.4956, 69.2803
"LA-3, Wallops Flight Facility, Virginia, USA", -75.4836, 37.8313
"LA-5B, RAAF Woomera Range Complex, Australia", 136.8194, -31.196
"LA-Y1, Tanegashima Space Center, Japan", 131.0489, 30.3894
"LA-Y2, Tanegashima Space Center, Japan", 131.0456, 30.3858
"LC-1, Naro Space Center, South Korea", 127.0994, 34.4344
"LC-101, Wenchang Satellite Launch Center, China", 110.9462, 19.6419
"LC-11, Cape Canaveral AFS, Florida, USA", -74.5552, 40.6065
"LC-12, Cape Canaveral AFS, Florida, USA", -74.5758, 40.6065
"LC-13, Cape Canaveral AFS, Florida, USA", -74.5952, 40.6065
"LC-14, Cape Canaveral AFS, Florida, USA", -74.6149, 40.6065
"LC-16, Taiyuan Satellite Launch Center, China", 112.5504, 38.8379
"LC-18A, Cape Canaveral AFS, Florida, USA", -74.6556, 40.6065
"LC-18B, Cape Canaveral AFS, Florida, USA", -74.6749, 40.6065
"LC-19, Cape Canaveral AFS, Florida, USA", -74.6949, 40.606
"LC-2, Xichang Satellite Launch Center, China", 102.0196, 28.2464
"LC-201, Wenchang Satellite Launch Center, China", 110.9523, 19.6146
"LC-26A, Cape Canaveral AFS, Florida, USA", -80.5645, 28.3922
"LC-3, Xichang Satellite Launch Center, China", 102.0196, 28.2464
"LC-34, Cape Canaveral AFS, Florida, USA", -80.5674, 28.3922
"LC-39A, Kennedy Space Center, Florida, USA", -80.6042, 28.6083
"LC-39B, Kennedy Space Center, Florida, USA", -80.6042, 28.6083
"LC-5, Cape Canaveral AFS, Florida, USA", -80.5772, 28.3922
"LC-576A1, Vandenberg AFB, California, USA", -120.6108, 34.7519
"LC-576A2, Vandenberg AFB, California, USA", -120.6108, 34.7519
"LC-576B3, Vandenberg AFB, California, USA", -120.6108, 34.7519
"LC-7, Taiyuan Satellite Launch Center, China", 112.5504, 38.8379
"LC-9, Taiyuan Satellite Launch Center, China", 112.5504, 38.8379
"LP-0A, Wallops Flight Facility, Virginia, USA", -75.4853, 37.8467
"LP-0B, Wallops Flight Facility, Virginia, USA", -75.4853, 37.8467
"LP-1, Pacific Spaceport Complex, Alaska, USA", -145.6107, 57.4456
"LP-41, Kauai, Pacific Missile Range Facility", -159.6183, 21.9672
"Mu Pad, Uchinoura Space Center, Japan", 131.0667, 31.2517
"NB-52B Carrier, Cape Canaveral AFS, Florida, USA", -80.5697, 28.3922
"NB-52B Carrier, Edwards AFB, California, USA", -117.8816, 34.9051
"Pad 1, Palmachim Airbase, Israel", 34.7158, 31.8989
"Pad 1, Sohae Satellite Launching Station, North Korea", 124.7125, 39.6678
"Pad A, Boca Chica, Texas, USA", -97.1645, 25.9974
"SLC-17A, Cape Canaveral AFS, Florida, USA", -80.5683, 28.3922
"SLC-17B, Cape Canaveral AFS, Florida, USA", -80.5711, 28.3922
"SLC-1E (75-3-5), Vandenberg AFB, California, USA", -120.6108, 34.7519
"SLC-1W (75-3-4), Vandenberg AFB, California, USA", -120.6108, 34.7519
"SLC-20, Cape Canaveral AFS, Florida, USA", -80.5683, 28.3922
"SLC-2E (75-1-1), Vandenberg AFB, California, USA", -120.6108, 34.7519
"SLC-2W, Vandenberg AFB, California, USA", -120.6108, 34.7519
"SLC-36A, Cape Canaveral AFS, Florida, USA", -80.5639, 28.3922
"SLC-36B, Cape Canaveral AFS, Florida, USA", -80.5639, 28.3922
"SLC-37B, Cape Canaveral AFS, Florida, USA", -80.5622, 28.3922
"SLC-3E, Vandenberg AFB, California, USA", -120.6108, 34.7519
"SLC-3W, Vandenberg AFB, California, USA", -120.6108, 34.7519
"SLC-40, Cape Canaveral AFS, Florida, USA", -80.5774, 28.3922
"SLC-41, Cape Canaveral AFS, Florida, USA", -80.5774, 28.3922
"SLC-46, Cape Canaveral AFS, Florida, USA", -80.5875, 28.3922
"SLC-4E, Vandenberg AFB, California, USA", -120.6108, 34.7519
"SLC-4W, Vandenberg AFB, California, USA", -120.6108, 34.7519
"SLC-5, Vandenberg AFB, California, USA", -120.6108, 34.7519
"SLC-576E, Vandenberg AFB, California, USA", -120.6108, 34.7519
"SLC-6, Vandenberg AFB, California, USA", -120.6108, 34.7519
"SLC-8, Vandenberg AFB, California, USA", -120.6108, 34.7519
"SLC-N, Tanegashima Space Center, Japan", 130.9595, 30.3663
"SLV LP, Satish Dhawan Space Centre, India", 80.2319, 13.7371
"SM Launch Tab, San Marco Launch Platform, Kenya", 39.2167, -2.9381
"Santa Rita 2, San Marco Launch Platform, Kenya", 39.2167, -2.9381
"Second Launch Pad, Satish Dhawan Space Centre, India", 80.2309, 13.733
"Site 1/5, Baikonur Cosmodrome, Kazakhstan", 63.3428, 45.964
"Site 107/1, Kapustin Yar, Russia", 45.8797, 48.7186
"Site 109/95, Baikonur Cosmodrome, Kazakhstan", 63.3266, 45.9272
"Site 110/37, Baikonur Cosmodrome, Kazakhstan", 63.3355, 45.9425
"Site 110/38, Baikonur Cosmodrome, Kazakhstan", 63.3049, 45.9647
"Site 131/29, Baikonur Cosmodrome, Kazakhstan",45.964, 63.303
"Site 132/1, Plesetsk Cosmodrome, Russia",62.927, 40.573
"Site 132/2, Plesetsk Cosmodrome, Russia",62.930, 40.569
"Site 133/3, Plesetsk Cosmodrome, Russia",62.950, 40.568
"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",40.958, 100.294
"Site 158, Plesetsk Cosmodrome, Russia",62.925, 40.593
"Site 16/2, Plesetsk Cosmodrome, Russia",62.830, 40.450
"Site 161/35, Baikonur Cosmodrome, Kazakhstan",45.998, 63.378
"Site 162, Baikonur Cosmodrome, Kazakhstan",45.997, 63.325
"Site 175/58, Baikonur Cosmodrome, Kazakhstan",46.006, 63.596
"Site 175/59, Baikonur Cosmodrome, Kazakhstan",46.005, 63.605
"Site 191/66, Baikonur Cosmodrome, Kazakhstan",45.982, 63.603
"Site 1S, Vostochny Cosmodrome, Russia",51.867, 128.329
"Site 200/39, Baikonur Cosmodrome, Kazakhstan",45.987, 63.601
"Site 250, Baikonur Cosmodrome, Kazakhstan",46.087, 63.321
"Site 31/6, Baikonur Cosmodrome, Kazakhstan",45.941, 63.311
"Site 32/1, Plesetsk Cosmodrome, Russia",62.948, 40.557
"Site 32/2, Plesetsk Cosmodrome, Russia",62.941, 40.553
"Site 35/1, Plesetsk Cosmodrome, Russia",62.997, 40.580
"Site 370/13, Yasny Cosmodrome, Russia",51.216, 59.547
"Site 41/1, Plesetsk Cosmodrome, Russia",62.927, 40.578
"Site 41/15, Baikonur Cosmodrome, Kazakhstan",45.961, 63.293
"Site 43/3, Plesetsk Cosmodrome, Russia",62.890, 40.574
"Site 43/4, Plesetsk Cosmodrome, Russia",62.889, 40.571
"Site 45/1, Baikonur Cosmodrome, Kazakhstan",45.967, 63.310
"Site 45/2, Baikonur Cosmodrome, Kazakhstan",45.974, 63.327
"Site 5020 (LA-2A), Jiuquan Satellite Launch Center, China",40.967, 100.283
"Site 81/23, Baikonur Cosmodrome, Kazakhstan",45.920, 63.289
"Site 81/24, Baikonur Cosmodrome, Kazakhstan",45.921, 63.304
"Site 86/1, Kapustin Yar, Russia",48.570, 45.756
"Site 90/19, Baikonur Cosmodrome, Kazakhstan",45.934, 63.312
"Site 90/20, Baikonur Cosmodrome, Kazakhstan",45.933, 63.324
"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",40.967, 100.288
"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",40.966, 100.296
"Site 95, Jiuquan Satellite Launch Center, China",40.958, 100.293
"Stargazer, Base Aerea de Gando, Gran Canaria",27.931, -15.393
"Stargazer, Cape Canaveral AFS, Florida, USA",28.392, -80.583
"Stargazer, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",9.046, 167.743
"Stargazer, Vandenberg AFB, California, USA",34.746, -120.570
"Stargazer, Wallops Flight Facility, Virginia, USA",37.931, -75.465
"Svobodny Cosmodrome, Russia",51.368, 128.146
"Tai Rui Barge, Yellow Sea",35.350, 119.600
"Taiyuan Satellite Launch Center, China",38.840, 111.603
"Uchinoura Space Center, Japan",31.251, 131.083
"VLS Pad, Alcântara Launch Center, Maranhão, Brazil",2.350, -44.396
"Vertical Launch Area, Spaceport America, New Mexico",32.990, -106.979
"Xichang Satellite Launch Center, China",28.246, 102.026